,nifty_Close,nifty_Open,nifty_High,nifty_Low,bank_Close,bank_Open,bank_High,bank_Low,vix_Close,vix_Open,vix_High,vix_Low,Volume,OI
2011-02-14,5462.0,5340.3999,5463.7998,5340.3999,10806.75,10569.0,10815.7002,10557.7002,22.58,23.47,23.69,21.56,26467050.0,29041050.0
2011-02-15,5478.5498,5469.7002,5506.5,5408.3501,10958.4004,10827.2998,11035.1504,10722.7002,22.85,22.58,23.43,20.76,25402450.0,27333500.0
2011-02-16,5487.3999,5472.25,5504.7998,5460.3501,10988.8496,10953.0498,11024.25,10908.6504,23.05,22.85,23.59,21.7,17394050.0,26959500.0
2011-02-17,5548.6499,5498.7998,5553.0,5463.3999,11134.9004,10984.0498,11190.2002,10918.0996,22.57,23.05,23.41,22.04,18547100.0,28323650.0
2011-02-18,5467.1001,5559.25,5599.25,5441.9502,10970.0,11167.0996,11300.4502,10915.3496,24.18,22.57,24.52,20.38,31701150.0,27735400.0
2011-02-21,5519.25,5458.6499,5526.25,5413.1001,11058.5,10943.5498,11070.3496,10806.2998,24.91,24.18,26.27,23.65,24804750.0,25955150.0
2011-02-22,5472.6499,5504.4502,5519.4502,5437.2998,10835.0996,10950.9502,10951.75,10777.6504,26.85,24.91,28.13,24.91,31855000.0,25440350.0
2011-02-23,5436.2998,5449.25,5495.2002,5427.5498,10648.4004,10788.7002,10857.8496,10628.6504,26.55,26.85,27.24,26.17,24722250.0,21805500.0
2011-02-24,5280.3999,5410.8999,5423.3999,5242.5,10246.8496,10628.5498,10643.25,10169.0,28.2,26.55,28.9,26.39,34501700.0,15764350.0
2011-02-25,5318.75,5322.9502,5334.8501,5232.75,10499.75,10359.0498,10510.5,10263.1504,27.27,28.2,29.05,27.19,27565700.0,25932600.0
2011-02-28,5334.2002,5329.8501,5477.0,5308.6001,10443.8496,10586.7998,10744.8496,10364.3496,24.4,27.27,27.88,22.37,48215500.0,25468750.0
2011-03-01,5532.5,5385.2998,5533.0498,5373.5498,10901.0996,10541.75,10906.1504,10528.3496,22.22,24.4,24.4,22.22,30144500.0,24358250.0
2011-03-03,5537.2002,5480.3999,5570.75,5468.25,10908.8496,10786.8496,11066.4004,10759.7002,22.96,22.22,23.84,22.07,31995800.0,23675200.0
2011-03-04,5543.1499,5587.3999,5608.2002,5524.1001,10981.4004,11015.25,11134.0996,10924.0996,22.91,22.96,23.51,21.83,22997300.0,24481000.0
2011-03-07,5466.2002,5491.25,5491.25,5408.4502,10790.75,10861.8496,10861.8496,10658.2998,25.22,22.91,26.12,22.91,27607450.0,23920650.0
2011-03-08,5521.8999,5467.6001,5530.5498,5464.75,10940.2002,10779.1504,10962.7002,10779.1504,23.67,25.22,25.22,23.63,20733950.0,22095700.0
2011-03-09,5517.9502,5543.6001,5563.2998,5477.4502,10941.9502,10984.0,11054.0,10904.5996,23.28,23.67,24.23,22.46,24758150.0,22840750.0
2011-03-10,5495.25,5516.2998,5516.2998,5468.4502,10855.6504,10913.0996,10913.0996,10783.2998,23.53,23.28,24.17,22.63,18615800.0,23725800.0
2011-03-11,5449.8501,5455.8999,5502.7002,5411.5498,10734.25,10767.3496,10904.2002,10697.0996,24.13,23.53,25.22,22.87,27145750.0,24202450.0
2011-03-14,5535.1499,5436.7002,5537.2998,5434.25,10912.5,10731.8496,10916.6504,10731.8496,23.3,24.13,24.64,23.07,21866100.0,24172050.0
2011-03-15,5460.7998,5421.2998,5497.8501,5373.6499,10750.7002,10668.2002,10784.2002,10591.2998,26.63,23.3,27.52,23.3,40829850.0,25096900.0
2011-03-16,5512.0498,5478.75,5535.1001,5478.2002,10964.5498,10804.7998,11001.25,10804.7998,24.89,26.63,26.63,24.14,19992350.0,25508300.0
2011-03-17,5454.5498,5453.8999,5510.0498,5435.2998,10853.0996,10861.4502,11018.2998,10824.4004,25.26,24.89,26.11,23.47,25062750.0,24535900.0
2011-03-18,5367.7998,5480.25,5483.0498,5366.3999,10707.6504,10898.7998,10927.25,10699.4004,25.89,25.26,26.6,23.27,27121900.0,26339850.0
